time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,-2,2,-6,0,0,0,68,71,10,0,83,27.23,58,-50.0,-33.0,-999.0
0.066,-2,2,-6,0,0,0,68,71,10,0,83,27.23,58,-50.0,-33.0,-999.0
0.128,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-52.0,-32.0,-1001.0
0.191,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-52.0,-32.0,-1001.0
0.254,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-52.0,-32.0,-1001.0
0.316,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-48.0,-42.0,-1005.0
0.379,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-48.0,-42.0,-1005.0
0.442,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-48.0,-42.0,-1005.0
0.493,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-48.0,-42.0,-1005.0
0.556,-2,2,-6,0,0,0,68,71,10,0,83,27.2,58,-48.0,-42.0,-1005.0
0.619,-2,0,-7,0,0,0,68,71,10,0,83,27.2,58,36.0,-25.0,-1146.0
0.681,-2,0,-7,0,0,0,68,71,10,0,83,27.2,58,36.0,-25.0,-1146.0
0.744,-2,0,-7,0,0,0,68,71,10,0,83,27.2,58,36.0,-25.0,-1146.0
0.807,1,0,-8,1,-1,-3,68,71,10,0,83,27.2,59,45.0,-64.0,-1265.0
0.870,1,0,-8,1,-1,-3,68,71,10,0,83,27.2,59,45.0,-64.0,-1265.0
0.932,1,0,-8,1,-1,-3,68,71,10,0,83,27.2,59,45.0,-64.0,-1265.0
0.985,4,3,-8,1,-1,-5,68,71,15,0,83,27.48,59,26.0,-46.0,-1165.0
1.048,4,3,-8,1,-1,-6,68,71,24,0,83,27.62,59,16.0,-80.0,-1079.0
1.110,4,3,-8,1,-1,-6,68,71,24,0,83,27.62,59,16.0,-80.0,-1079.0
1.173,4,3,-8,1,-1,-6,68,71,24,0,83,27.62,59,16.0,-80.0,-1079.0
1.236,3,5,-8,0,-1,-6,68,71,40,0,83,27.76,59,5.0,-71.0,-971.0
1.298,3,5,-8,0,-1,-6,68,71,40,0,83,27.76,59,5.0,-71.0,-971.0
1.362,3,5,-8,0,-1,-6,68,71,40,0,83,27.76,59,5.0,-71.0,-971.0
1.424,1,4,-8,0,-1,-5,68,71,58,10,83,28.02,59,-12.0,-78.0,-932.0
1.475,1,4,-8,0,-1,-5,68,71,58,10,83,28.02,59,-12.0,-78.0,-932.0
1.539,1,4,-8,0,-1,-5,68,71,58,10,83,28.02,59,-12.0,-78.0,-932.0
1.602,0,5,-8,0,-1,-4,68,71,66,20,83,28.05,59,-2.0,-68.0,-928.0
1.665,0,5,-8,-1,0,-4,68,71,73,20,83,28.11,59,-27.0,-79.0,-906.0
1.728,0,5,-8,-1,0,-4,68,71,73,20,83,28.11,59,-27.0,-79.0,-906.0
1.790,0,5,-8,-1,0,-4,68,71,73,20,83,28.11,59,-27.0,-79.0,-906.0
1.854,-1,5,-8,-1,0,-2,68,71,85,30,83,28.2,60,3.0,-66.0,-885.0
1.916,-1,5,-8,-1,0,-2,68,71,85,30,83,28.2,60,3.0,-66.0,-885.0
1.979,-1,5,-8,-1,0,-2,68,71,85,30,83,28.2,60,3.0,-66.0,-885.0
2.031,-1,6,-8,-1,0,0,68,71,92,30,83,28.43,60,-48.0,-90.0,-925.0
2.094,-1,6,-8,-1,0,0,68,71,92,30,83,28.43,60,-48.0,-90.0,-925.0
2.157,-1,6,-8,-1,0,0,68,71,92,30,83,28.43,60,-48.0,-90.0,-925.0
2.220,-1,5,-8,-1,0,0,68,71,95,30,83,28.34,60,-40.0,-86.0,-944.0
2.283,-2,6,-8,-1,0,0,68,71,98,30,83,28.31,60,-51.0,-108.0,-956.0
2.346,-2,6,-8,-1,0,0,68,71,98,30,83,28.31,60,-51.0,-108.0,-956.0
2.408,-2,6,-8,-1,0,0,68,71,98,30,83,28.31,60,-51.0,-108.0,-956.0
2.472,-5,6,-8,-1,0,0,70,71,101,40,83,28.48,60,-26.0,-117.0,-919.0
2.524,-5,6,-8,-1,0,0,70,71,101,40,83,28.48,60,-26.0,-117.0,-919.0
2.586,-5,6,-8,-1,0,0,70,71,101,40,83,28.48,60,-26.0,-117.0,-919.0
2.649,-2,7,-8,0,0,1,70,71,103,40,83,28.56,60,-50.0,-102.0,-962.0
2.712,-2,7,-8,0,0,1,70,71,103,40,83,28.56,60,-50.0,-102.0,-962.0
2.775,-2,7,-8,0,0,1,70,71,103,40,83,28.56,60,-50.0,-102.0,-962.0
2.838,-3,7,-8,0,0,1,70,71,104,40,83,28.49,61,-45.0,-112.0,-921.0
2.901,-3,7,-8,0,0,1,70,71,104,40,83,28.43,61,-7.0,-123.0,-946.0
2.964,-3,7,-8,0,0,1,70,71,104,40,83,28.43,61,-7.0,-123.0,-946.0
3.015,-3,7,-8,0,0,1,70,71,104,40,83,28.43,61,-7.0,-123.0,-946.0
3.078,-2,8,-8,0,0,1,70,71,104,40,83,28.44,61,-4.0,-109.0,-939.0
3.141,-2,8,-8,0,0,1,70,71,104,40,83,28.44,61,-4.0,-109.0,-939.0
3.204,-2,8,-8,0,0,1,70,71,104,40,83,28.44,61,-4.0,-109.0,-939.0
3.267,0,7,-8,0,0,1,70,71,102,40,83,28.37,61,-35.0,-75.0,-981.0
3.330,0,7,-8,0,0,1,70,71,102,40,83,28.37,61,-35.0,-75.0,-981.0
3.393,0,7,-8,0,0,1,70,71,102,40,83,28.37,61,-35.0,-75.0,-981.0
3.456,-1,4,-8,0,0,1,70,71,99,40,83,28.39,61,-10.0,-112.0,-1007.0
3.506,-1,4,-8,0,0,1,70,71,99,40,83,28.39,61,-10.0,-112.0,-1007.0
3.571,-1,4,-8,0,0,1,70,71,99,40,83,28.39,61,-10.0,-112.0,-1007.0
3.634,-1,4,-8,0,0,1,70,71,99,40,83,28.39,61,-10.0,-112.0,-1007.0
3.697,-1,5,-8,0,0,1,70,71,96,40,83,28.27,61,-3.0,-124.0,-951.0
3.760,-1,5,-8,0,0,1,70,71,96,40,83,28.27,61,-3.0,-124.0,-951.0
3.823,-1,5,-8,0,0,1,70,71,96,40,83,28.27,61,-3.0,-124.0,-951.0
3.886,-1,6,-8,0,0,2,70,71,92,40,83,28.26,62,-3.0,-112.0,-1053.0
3.949,-1,6,-8,0,0,2,70,71,92,40,83,28.26,62,-3.0,-112.0,-1053.0
4.011,-1,6,-8,0,0,2,70,71,92,40,83,28.26,62,-3.0,-112.0,-1053.0
4.063,-1,5,-8,0,0,1,70,71,87,40,83,28.25,62,-17.0,-116.0,-1011.0
4.126,0,5,-8,0,0,1,70,71,86,40,83,28.3,62,-22.0,-112.0,-1002.0
4.189,0,5,-8,0,0,1,70,71,86,40,83,28.3,62,-22.0,-112.0,-1002.0
4.252,0,5,-8,0,0,1,70,71,86,40,83,28.3,62,-22.0,-112.0,-1002.0
4.315,0,7,-8,0,0,1,70,71,84,40,83,28.43,62,15.0,-107.0,-995.0
4.378,0,7,-9,0,0,1,70,71,82,30,83,28.12,62,71.0,-128.0,-1030.0
4.441,0,7,-8,1,0,1,70,72,81,30,83,28.21,62,51.0,-124.0,-1015.0
4.504,0,7,-8,1,0,1,70,72,81,30,83,28.21,62,51.0,-124.0,-1015.0
